question,answer,A,B,C,D
"This amazing actress, born Margarita Carmen Cansino, was on the stage when she was 6 with The Cansinos who were Spanish dancers working in vaudeville. In 1937, she changed her name and gave an impressive performance in Only Angels Have Wings with Cary Grant. Can you name her?",Rita Hayworth,Marilyn Monroe,Sophia Loren,Hedy Lamarr,Rita Hayworth
"This rockin guitarist, nicknamed Slowhand, started his career in 1963 and has been a member of such bands as The Roosters, Cream and The Yardbirds.",Eric Clapton,Ginger Baker,Eric Clapton,Peter Frampton,Jeff Beck
"Actor John Cazale was born on August 12, 1935, in what city?","Boston, Massachusetts","Los Angeles, California","Boston, Massachusetts",New York City,"Portland, Maine"
"During his teenage years, actor John Cazale made friends with which famous Italian-American actor?",Al Pacino,Robert DeNiro,Dustin Hoffman,James Caan,Al Pacino
"Actor John Cazale won an Obie for his performance in which off-Broadway play, written by Israel Horovitz?",The Indian Wants The Bronx,The Peace Creeps,The Line,The Indian Wants The Bronx,The Winner
"In 1962, John Cazale starred in which short film?",The American Way,The Way,The way to Success,The American Way,The Conversation
"In total, John Cazale starred in how many feature movies?",5,12,2,23,5
"How many movies, starring John Cazale, won an Academy Award for Best Picture?",3,8,3,5,3
John Cazale received how many Academy Award nominations?,0,3,0,1,2
John Cazale was engaged to which Oscar-winning actress?,Meryl Streep,Diane Keaton,Meryl Streep,Glenn Close,Teri Garr
"Actor John Cazale died on March 12, 1978, in New York from what disease?",Bone cancer,Throat cancer,Leukemia,Lung cancer,Bone cancer
When was Redd Foxx born?,"12 /9//1922 in Saint Louis, MO","12/9/1927 in Chicago, IL.","12 /9//1922 in Saint Louis, MO","12 /9/1932 in Kansas City, MO","12/9/1937 in East Saint Louis, IL"
What was Redd Foxx name at birth?,John Elroy Sanford,Lamont Elroy Sanford,John Elroy Sanford,Richard Elton Sanford,Whitmore Elvin Sanfird III
Redd Foxx was once called Chicago Red so that he would not be confused with another red-headed man called Detroit Red. Who was this man?,Malcolm Little,Malcolm Little,Charles DuSable,John W. Bubbles,Chuck Green
Which statement about Redd Foxx is untrue?,Redd was one of the first comedians to use relationship humor in his  act.,In the 40s and 50s Redd engaged in illegal activities including draft dodging.,Redd was one of the first comedians to use relationship humor in his  act.,Redd took his last name from baseball star Jimmy Foxx.,Redd first gained comedic fame with his very raunchy stand-up.
When was the show Sanford and Son aired?,1972-1977,1971-1978,1973-1981,1972-1977,1974-1982
How did Redd Foxx get the name Fred Sanford for the lead role on the show Sanford and Son?,It was Redds brothers real name .,It was Redds name when he was a boxer.,He needed a short name so he picked Fred.,It was Redds brothers real name .,It was the first name of the corresponding character in the British version of the show.
Who played Fred Sanfords son on the sitcom Sanford and Son?,Demond Wilson,Delmont Wilson,Demond Wilson,Desmond Mayo,Desmond Wilson
"Name the actor on Sanford and Son who played Freds friend, Grady Wilson?",Whitman Mayo,Wilson  Bexley,Don Bexley,Whitman Mayo,Bubba Bexley
A member of  the Our Gang troop starred in Sanford and Son.,True,True,False,,
"When Redd Foxx first entered show business, segregation forced him to perform at segregated clubs. What was the collective name given to these clubs?",The Chitlin Circuit,The Greenville Ciruit,The Copasetic Circuit,The Leedsville Circuit,The Chitlin Circuit
Where was the junkyard located in the TV series Sanford and Son?,Los Angeles,San Francisco,Los Angeles,New York City,"Kansas City, MO"
Why did Redd Foxx quit the show Sanford and Son?,He got his own variety show on ABC.,CBS offered him a three picture deal.,NBC wanted to replace him with Flip Wilson.,He got his own variety show on ABC.,Ratings were very low.
Which statement regarding Redd Foxx is false?,Redd has a star on the L.A. Walk of Fame.,The IRS seized his house and jewelry in a raid in 1989.,The original choice for Fred Sanford was Clevon Little.,Redd made a comeback in 1991.,Redd has a star on the L.A. Walk of Fame.
Who wrote the theme song for Sanford and Son?,Quincy Jones,Quincy Jones,Mike Post,Errol Garner,Redd Foxx
"What is the name of the lipstick Courteney Cox designed for CARGO, a Canadian cosmetics company?",Cece,Cox,Coco,Courteney,Cece
"Before marrying David Arquette, Courtney Cox dated this member of the Counting Crows rock band.",Adam Duritz,Charlie Gillingham,David Bryson,Jim Bogios,Adam Duritz
For which role on the Friends TV show did Courteney Cox originally audition?,Rachel,Janice,Phoebe,Judy,Rachel
What was the name of Courteney Coxs character in the Scream trilogy?,Gale Weathers,Billy Loomis,Casey Becker,Tatum Riley,Gale Weathers
Courtney Cox provided the voice of this character in the 2006 animation movie Barnyard.,Daisy the Cow,Etta the Hen,Pip the Mouse,Daisy the Cow,Bessy the Cow
"In the Dirt TV series, Courteney Cox plays the editor-in-chief of this tabloid magazine.",DirtNow,Lucy,DirtNow,DIRT,Tabloid
Jennifer Aniston guest starred in the season finale of the Dirt TV show.,True,False,True,,
Courteney Cox appeared in the 1984 music video of this Bruce Springsteen song.,Dancing in the Dark,Dancing in the Dark,Streets of Philadelphia,Pink Cadillac,Everything I Do
Who co-starred with Courteney Cox in the 2004 movie November?,James Legros,Michael Keaton,Kurt Russel,James Legros,Kevin Costner
Willem DaFoe shares a birthday with what other well known actor?,David Spade,Chris Cooper,Robert DeNiro,Liam Neeson,David Spade
"What is The Wooster Group, and how is Willem DaFoe connected with it?",An experimental theatre group. Willem was one of its original founders.,A film preservation archives group. Mr. DaFoe serves on its board of directors.,A financing arm of Indy Titles Pictures. Mr. DaFoe is a major investor.,A non-profit organization which establishes scholarships for aspiring actors. Mr. DaFoe is Vice president.,An experimental theatre group. Willem was one of its original founders.
"In To Live and Die in L.A., what were the name and profession of DaFoes character?",Rick Masters - Counterfeiter/Artist,Bob Grimes - Lawyer,Rick Masters - Counterfeiter/Artist,Rick Chance -  U.S. Secret Service agent,John Vukovich - Undercover informant
"Willem DaFoe acted opposite William Peterson in Michael Manns 1986 film, Manhunter.",False,False,True,,
This 1984 film features Willem DaFoe in one of his first leading roles.,Streets of Fire,Forbidden Streets,Streets of Fire,Blade Runner,Streets of Desire
In which of the following films does Willem DaFoe not appear?,8 Million Ways to Die,Streets of Fire,English Patient,8 Million Ways to Die,The Last Temptation of Christ
Willem DaFoe acted with Mick Jagger in the 1992 Sci-fi thriller Freejack.,False,True,False,,
When was actress Sandra Dee born?,"April 23, 1942","April 23, 1943","April 23, 1942","April 25, 1942","September 20, 1942"
Sandra Dees birth name was Alexandra Zuck.,True,True,False,,
Sandra Dee was 4 years old when she entered the second grade.,True,True,False,,
What was the title of Sandra Dees first movie?,Until They Sail,Until They Sail,Tammy,Gidget,A Summer Place
What was the last movie in which Sandra Dee starred?,Lost,Two on a Guillotine,The Dunwich Horror,Lost,Imitation of Life
When did actress Sandra Dee die?,"February 20, 2005","February 21, 2005","December 25, 2000","February 20, 2005","December 21, 2005"
Which of these describes Bob Newharts stand-up style?,One-sided phone calls and a stammering style delivery.,Insult type humor,One-liners delivered one after the other,Off-color jokes with non-political context,One-sided phone calls and a stammering style delivery.
How many times did Bob Newhart appear on The Dean Martin Show?,24,11,24,0,1
What is true about The Bob Newhart Show?,"The expression Hi, Bob was said 256 times.","The expression Hi, Bob was said 256 times.",The expression Love that Bob! was said 199 times.,Bobs character has trouble relating to his teenage daughter.,Bobs character is sued for malpractice in his psychiatry practice.
What role does Bob Newhart play in Newhart?,Dick Loudin,Dr. Dick Loudin,Dr. Bob Loudin,Dick Loudin,Bob Loudin
When did the sitcom Newhart air?,1982-1990,1982-1990,1979-1987,1981- 1991,1980-1988
Who played Bobs blond wife in Newhart?,Mary Frann,Julia Duffy,Mary Frann,Suzanne Pleshette,Marcia Wallace
Who portrayed the handyman in Newhart?,Tom Poston,Tom Poston,Richard Stahl,William Sanderson,Peter Scolari
"Who played the rich, spoiled Stephanie Vanderkellen in the sitcom Newhart?",Julia Duffy,Melanie Chartoff,Julia Duffy,Priscilla Morrill,Marcia Wallace
William Sanderson played the local weirdo Larry in Newhart. What were the names of his brothers?,Darryl and Darryl,Mitch and  Mike,Louie and Herbie,Sam  and  Sammy,Darryl and Darryl
"In the Christmas episode of Newhart, who comes to the inn the day after Christmas?",The three Weismans,George and Suzanne,Marcia and Julia,Julia,The three Weismans
What is unusual about the opening credits of the sitcom Newhart?,They show a scene from On Golden Pond.,They show a scene from an old Bob Newhart show,They show Bob living in Chicago.,They show Bob and Marcia driving to Vermont.,They show a scene from On Golden Pond.
How does the last season of  the show Newhart end?,Bob wakes up next to Emily and finds that he has been dreaming the entire show.,Bob wakes up next to Emily and finds that he has been dreaming the entire show.,"Bob awakens to find that he has two wives, one blond and one brunette and he owns an inn and a psychology practice.",Bob awakens to find that he is an Illinois psychiatrist who has just bought  a Vermont inn and the entire cast of The Bob Newhart Show is in the inn.,Bob wakes up to find the inn is under sixty inches of snow and the characters are forced to get along.
"Comedian and actor, Rodney Dangerfield was born Jacob Cohen on November 22, 1921 in which US state?",New York,Connecticut,California,New York,Pennsylvania
"Comedian Rodney Dangerfields first participation in cinema was in 1971, in this movie.",The Projectionist,Easy Money,Little Nicky,The Projectionist,Back to School
"American comedian, Rodney Dangerfield had two significant relationships in his life, with which two of these women?",Joyce Indig and Joan Childs,Paula Bernstein and Joyce Mathison,Joan Childs and Marian Martaugh,Joyce Indig and Joan Childs,Joan Indig and Paula Bernstein
"Besides the 1994 American Comedy Award for lifetime creative achievement, what other significant award did comedian, Rodney Dangerfield win?",Grammy,Obie,Grammy,Emmy,Oscar
"Actor and comedian, Rodney Dangerfield bought a Manhattan nightclub in 1969, which he turned into a comedy club, named what?",Dangerfields,Hollywood Comedy Theater,The Comedy Station,Rodneys,Dangerfields
"Which of these pseudonyms did comedian Rodney Dangerfield use, before settling on the one he became famous with?",Jack Roy,Roger Dangerland,Robbie Danger,Jack Roy,Jackie Davis
"In addition voicing the character of Burnss son, Larry Burns, on The Simpsons, Dangerfield was also involved which of these animated films?",Rover Dangerfield,Shrek,Rover Dangerfield,The Flintstones,"Monsters, inc."
Al Czervik was an important part of Rodney Dangerfields career as comedian and actor.  Who was actually Al Czervik?,A character in one of Dangerfields movies,Rodneys agent,A character in one of Dangerfields movies,Rodneys childhood idol,Rodneys manager and best friend
"On October 5, 2004, actor and comedian Rodney Dangerfield, 82, passed away at the UCLA Medical Center in Los Angeles, California. His death was the result of which of these?",Heart valve-replacement surgery,Lung cancer,Drug overdose,Heart valve-replacement surgery,Brain surgery
When did the notorious incident in which actor Michael Richards was involved in a shouting match with members of the audience during which he made racist statements happen?,"November 17, 2006","November 17, 2006","November 19, 2006","September 15, 2006","October 21, 2006"
What did Michael Richards claim was the cause of his racial tirade in a comedy club in 2006?,Uncontrolled rage,Personal problems,Mental problems,Uncontrolled rage,Racism
"After the controversial performance in the fall of 2006, Michael Richards opened the next night at the very same location.",True,True,False,,
On what day did Richards appear on late night TV via satellite to apologize and explain the situation?,"November 20, 2006","November 20, 2006","Octomber 21, 2006","September 19, 2006","November 18, 2006"
On what nighttime television program did Michael Richards apologize via satellite for the comedy club incident?,Late Show with David Letterman,The Jimmy Kimmel Show,The Tonight Show,Late Night with Conan OBrien,Late Show with David Letterman
Did the comedy club in which the racist incident happened eventually ban Michael Richards from performing at their venue in the future?,Yes,Yes,No,,
